inning,team,retroID,count,pitches,play
1,1,freef001,30,BBBX,43/G
6,1,swand001,32,BBBCCS,K
1,0,rizza001,30,BBBX,3/P
1,1,freef001,31,BBBCX,8/F+
3,0,bryak001,30,BBBB,W
6,0,contw001,31,BBBCX,HR/8/F.1-H
8,1,acunr001,31,BBBS1B,W.1-2
8,1,donaj001,31,BBBCB,W.1-2
1,1,freef001,30,BBBB,W
4,0,bryak001,32,BBBCFX,63/G
1,0,granc001,30,BBBB,W
3,1,gausk001,32,BBBCCX,53/G
4,0,walkn001,32,BBBCSFX,7/F
1,1,markn001,31,BBBCX,31/G
4,0,walkn001,31,BBBCX,S18/G+
4,1,camaj001,32,BBBCCFFFB,W
4,1,incie001,30,BBBB,W.2-3;1-2
3,1,donaj001,30,BBBB,W
2,0,confm001,30,BBBB,W
7,0,ramow001,32,BBBCSB,W
7,1,joycm001,31,BBBCB,W.2-3;1-2
4,0,broxk001,31,BBBC*B,W
5,1,freef001,31,BBBCB,W
1,0,davij006,30,BBBB,W
2,0,darnt001,31,BBBCX,S9/G
3,1,albio001,30,BBBB,W
4,1,swand001,30,BBBB,W
7,0,perad001,30,BBBB,W.1-2
8,0,martk001,30,BBB*B,W
1,1,acunr001,30,BBBX,6/P
2,0,walkc002,30,BBBB,W
10,0,dysoj001,30,BBBB,W
10,0,perad001,31,BBBCB,W.2-3;1-2
1,0,jonea003,20,BBB,WP.2-3;1-2
1,0,jonea003,32,BBB.CSFX,63/G.3-H;2-3
2,1,markn001,31,BBBC*B,W
2,1,swand001,31,BBBCX,9/F
7,0,locat001,30,BBBB,W
1,1,albio001,32,BBBCFFFB,W
2,1,flowt001,32,BBBCFX,S4/G.B-2(E4/TH)
3,1,freef001,30,BBBB,W
8,0,blacc001,32,BBBCSX,5/P
1,0,blacc001,30,BBBB,W
2,0,dahld001,32,BBBCFS,K
2,1,flowt001,32,BBBSTS,K
3,1,donaj001,32,BBBFFS,K
4,1,markn001,32,BBBCFFB,W
3,1,swand001,31,BBBCX,3/P
4,0,renfh001,31,BBBCX,8/F+
4,1,markn001,30,BBBB,W.1-2
4,1,mccab002,30,BBBX,46(1)3/GDP
8,1,mccab002,30,BBBB,W
8,1,freef001,32,BBBCCB,W
9,0,renfh001,30,BBBB,W.1-2
1,0,carpm002,32,BBBCLFB,W
5,0,ozunm001,30,BBBB,W.1-2
5,0,goldp001,30,BBBB,W
8,0,ozunm001,31,BBBCX,64(1)3/GDP
8,1,donaj001,30,BBBB,W
9,0,fowld001,31,BBBCB,W.1-2
1,1,freef001,30,BBBX,S8/L
2,1,flowt001,30,BBBB,W
3,0,wongk001,32,BBBC1FB,W.1-2
8,0,goldp001,30,BBBB,W.1-2
9,0,moliy001,32,BBBCCS,K
2,0,fowld001,30,BBBB,W
2,1,albio001,32,BBBCCFB,W
5,0,wongk001,31,BBBCB,W.1-2
5,1,mccab002,32,BBBCFX,43/G
3,1,albio001,30,BBBX,S9/L+.2-3;1-2
6,1,markn001,30,BBBB,W
9,0,mousm001,31,BBBCB,W.1-2
6,1,donaj001,31,BBBCB,W
3,1,acunr001,32,BBBSFFX,53/G-
2,1,rilea001,32,BBBCCC,K
8,1,mccab002,30,BBBB,W
4,1,swand001,31,BBBCX,7/F
5,0,sotoj001,30,BBBB,W.1-2
7,0,adamm002,32,BBBCFFFX,9/L
7,1,joycm001,31,BBBCX,S9/G.2-3;1-2
4,1,rilea001,30,BBBX,13/G
8,0,stewc002,30,BBBB,W
1,0,stewc002,32,BBBFTFX,S9/L
4,0,beckg001,31,BBBFB,W
5,1,swand001,31,BBBCX,D7/G.2-H
8,1,swand001,31,BBBCB,W
2,1,mccab002,31,BBBCB,W.1-2
4,1,swand001,30,BBBB,W
6,0,archc001,32,BBBCSX,1/G
6,1,markn001,30,BBBB,W
6,1,mccab002,30,BBBX,HR/9/F.2-H;1-H
1,1,albio001,30,BBBB,W
3,1,rilea001,30,BBBX,S7/L+
3,0,newmk001,31,BBBCX,13/G
3,0,reynb001,31,BBBCX,S7/F.2-H
3,1,acunr001,31,BBBFX,D7/G
9,0,newmk001,32,BBBCFX,63/G
9,1,freef001,32,BBBCFS,K
9,1,markn001,30,BBBB,W
1,1,swand001,30,BBBB,W
6,0,kings001,31,BBBCB,W
1,1,donaj001,31,BBBFX,S7/G+.2-3
6,0,willn001,30,BBBB,W
5,1,mccab002,30,BBBB,W.1-2
6,0,ramow001,30,BBBX,63/G
7,0,lagaj001,30,BBBB,W
8,1,acunr001,32,BBBCFFB,W
2,0,gomec002,30,BBBB,W.1-2
3,0,canor001,30,BBBB,W
6,1,acunr001,31,BBBCX,5/P
7,0,mcnej002,30,BBBB,W.1-2
7,1,freef001,31,BBBSX,43/G
9,0,alonp001,30,BBBB,W
3,1,acunr001,31,BBBSX,63/G+
4,1,rilea001,32,BBBFFB,W.1-2
4,0,seguj002,31,BBBCX,S7/L+
4,0,realj001,30,BBBB,W
6,0,harpb003,31,BBBCX,63/G
7,1,markn001,31,BBBCX,9/L
3,1,mccab002,30,BBBB,W
5,0,realj001,31,BBBCX,7/F
8,1,acunr001,31,BBBFB,W.1-2
2,1,donaj001,31,BBBCB,W
1,1,donaj001,30,BBBX,13/G-
7,1,markn001,31,BBBCX,S8/L
4,0,zimmr001,31,BBBCX,8/F+
9,1,acunr001,32,BBBCTS,K
4,1,rilea001,30,BBBX,D7/L+.2-H
6,0,gomey001,32,BBBCFX,7/F+
6,1,swand001,31,BBBFB,W
9,1,acunr001,31,BBBFB,W
9,1,freef001,30,BBBB,W.2-3;1-2
1,1,albio001,30,BBBX,8/F
2,0,suzuk001,32,BBBFCB,W
9,0,sotoj001,31,BBBFB,W.2-3;1-2
9,1,freef001,32,BBBCFFS,K
3,1,markn001,32,BBBCCX,63/G
5,0,kellb003,31,BBBCB,W
3,1,incie001,31,BBBCX,8/F
6,1,incie001,32,BBBCFB,W
1,0,suare001,32,BBBCSF*B,W
3,1,rilea001,32,BBBCFX,8/F
1,0,vottj001,30,BBBX,7/F+
2,0,vanmj001,31,BBBCB,W
3,0,vottj001,32,BBBCSB,W.1-2
5,0,vanmj001,31,BBBCB,W
6,0,barnt001,31,BBBCX,3/P
1,1,incie001,31,BBBCB,W.1-2
2,1,camaj001,32,BBBCTX,64(1)/FO/G.2-3
4,0,alonp001,31,BBBCX,4/L
4,0,confm001,32,BBBCFFS,K
1,1,donaj001,30,BBBB,W.1-2
2,0,panij002,30,BBBB,W
2,0,alonp001,30,BBBB,W.1-2
3,1,acunr001,30,BBBB,W
2,1,donaj001,30,BBBB,W
2,1,hecha001,30,BBBB,W
4,0,riose001,30,BBBB,W
4,1,acunr001,32,BBBCCS,K
7,0,smitw003,32,BBBCFB,W
3,1,acunr001,30,BBBB,W
2,1,joycm001,31,BBBCX,7/F
2,0,casts001,31,BBBCX,S7/L
4,0,granc001,30,BBBB,W
5,0,bertj001,30,BBBB,W
5,1,hecha001,30,BBBB,W
5,1,flowt001,30,BBBX,S8/L
2,1,donaj001,31,BBBCB,W
3,1,donaj001,30,BBBB,W
5,0,mccaj001,30,BBBB,W.1-2
9,0,sancc001,32,BBBCFB,W
4,0,garcl004,32,BBBCTX,43/G
7,0,andet001,30,BBBB,W
4,0,mckib001,31,BBBCB,W
2,0,hernt002,32,BBBCFFFX,63/G
4,0,guerv002,31,BBBCB,W
4,1,swand001,32,BBBCCS,K
5,1,acunr001,30,BBBX,HR/9/F
8,1,hamib001,32,BBBCSC,K
7,1,acunr001,32,BBBCFC,K
1,1,acunr001,31,BBBCX,63/G
5,1,donaj001,32,BBBCSFFX,63/G
1,1,donaj001,30,BBBB,W
2,1,swand001,30,BBBB,W
8,1,swand001,31,BBBCB,W
1,1,freef001,30,BBBX,43/G
6,1,swand001,32,BBBCCS,K
3,0,fraza001,31,BBBCX,S8/L+.1-2
5,1,zobrb001,31,BBBCB,W
6,1,bryak001,31,BBBCB,W
5,1,heywj001,30,BBBB,W
9,0,cabrm002,32,BBBCFX,8/F
1,0,pujoa001,30,BBBX,6/P
8,0,fletd002,32,BBBCCX,43/G
2,0,calhk001,32,BBBCCFX,6/P
3,1,heywj001,30,BBBB,W
1,0,perad001,20,BBB,CS2(26)
1,0,perad001,32,BBB.CCC,K
1,1,rizza001,30,BBBB,W.1-2
2,0,walkc002,31,BBBCX,S8/G+
3,1,boted002,31,BBBCB,W
8,1,heywj001,30,BBBB,W
4,0,murpj001,31,BBBC*B,W
4,1,contw001,32,BBBCCFB,W
1,0,dysoj001,30,BBBB,W
1,1,baezj001,31,BBBCB,W.1-2
5,0,martk001,30,BBBB,W
1,1,baezj001,30,BBBX,9/F+
4,0,seagc001,31,BBBCB,W
1,0,freed001,30,BBBX,9/F
2,0,bellc002,31,BBBCX,63/G
4,0,fowld001,30,BBBB,W
5,0,ozunm001,20,BBB,WP.1-2
5,0,ozunm001,31,BBB.CB,W
4,1,bryak001,32,BBBCCB,W
6,0,fowld001,30,BBBB,W
2,1,rizza001,31,BBB1CB,W.1-2
3,0,alfaj002,30,BBBB,W
9,0,herrr002,31,BBBCB,W.3-H;2-3;1-2
7,0,aguij001,30,BBBB,W.1-2
9,0,aguij001,32,BBBCCB,W.3-H;2-3;1-2
2,0,grany001,32,BBBCFB,W
5,1,schwk001,30,BBBX,2/P2F
6,1,heywj001,32,BBBCFFX,6/P
7,1,schwk001,31,BBBCB,W
8,1,bryak001,31,BBBCB,W
9,1,schwk001,30,BBB*B,W
11,0,arcio002,32,BBBCFFX,9/F
12,1,bryak001,31,BBBCB,W
14,0,yelic001,31,BBBCB,W
1,1,heywj001,31,BBBCX,31/G
1,1,schwk001,32,BBBCFB,W
7,0,cainl001,30,BBBB,W
8,0,pereh001,32,BBBCCB,W
1,0,harpb003,31,BBBCX,9/L+
8,1,carav001,30,BBBB,W
1,0,hoskr001,30,BBBB,W
1,1,heywj001,30,BBBB,W
3,0,seguj002,30,BBBB,W
1,0,hoskr001,32,BBBCFB,W
1,1,baezj001,30,BBBB,W
5,1,rizza001,31,BBBCB,W
9,1,heywj001,32,BBBCFFS,K
2,0,puigy001,32,BBBCFS,K
8,0,peraj003,31,BBBCB,W
2,0,dietd001,30,BBBB,W
2,1,heywj001,32,BBBCTX,63/G+
6,1,bryak001,30,BBBB,W
6,1,gonzc001,30,BBBB,W
6,1,lestj001,32,BBBCFFB,W
7,0,calhk001,31,BBBCB,W.2-3;1-2
6,1,gonzc001,30,BBBB,W
2,1,descd001,30,BBBB,W.2-3;1-2
4,1,contw001,31,BBBCX,8/L
4,1,boted002,32,BBBFCX,9/L
1,0,ozunm001,30,BBBX,HR/8/F.2-H;1-H
1,0,martj008,30,BBBX,7/F
7,1,boted002,31,BBBFB,W
1,0,mccaj001,31,BBBFB,W.2-3;1-2
2,1,carav001,31,BBBCX,3/G
5,1,schwk001,30,BBBX,9/F
1,1,rizza001,32,BBBFFB,W
9,0,ramow001,30,BBBB,W
2,0,confm001,30,BBBB,W
5,0,vargj001,32,BBBCCFFFC,K
3,0,frazt001,31,BBBC1X,HR/78/F.1-H
9,0,ramow001,31,BBBCX,13/G-
8,1,rizza001,31,BBBSB,W.1-2
1,1,rizza001,31,BBBCB,W.1-2
2,1,russa002,30,BBBB,W.2-3;1-2
4,1,bryak001,30,BBBB,W
6,0,markn001,32,BBBCFX,13/G-
7,0,acunr001,32,BBBFCS,K
8,0,freef001,32,BBBSFFFFX,31/G
4,0,acunr001,31,BBBFB,W.1-2
9,0,swand001,30,BBBB,W
2,1,rizza001,32,BBBCCFS,K
8,1,bryak001,32,BBBCCFB,W
1,1,schwk001,32,BBBCCB,W
1,1,russa002,31,BBBCB,W
1,1,schwk001,30,BBBB,W.1-2
2,1,rizza001,32,BBBCTX,6/L
5,0,diaze005,32,BBBCFX,7/F
7,1,almoa002,30,BBBB,W
8,1,bryak001,30,BBBB,W
4,1,russa002,30,BBBB,W
6,1,russa002,32,BBBCFB,W.1-2
9,0,puigy001,30,BBBX,S9/G
1,1,schwk001,31,BBBCX,43/G
4,0,desca001,32,BBBCFX,S7/G
9,0,genns001,31,BBBCX,S8/G
9,0,winkj002,30,BBBB,W
3,1,maldm001,31,BBBC*B,W
5,1,rizza001,31,BBBFB,W
7,0,hosme001,30,BBBB,W
9,0,reyef001,30,BBB*B,W
5,0,urial001,30,BBBB,W
1,1,rizza001,30,BBBB,W
